keyword,kind,score,priority,mapped_to
Patio Enclosures & Covers,primary_keyword,70,high,Question→Answer page (H1) + Service schema + internal links
Accessory Dwelling Unit (ADU),primary_keyword,69,medium,Question→Answer page (H1) + Service schema + internal links
Patio Covers Contractor,primary_keyword,69,medium,Question→Answer page (H1) + Service schema + internal links
Patios Contractor,primary_keyword,67,medium,Question→Answer page (H1) + Service schema + internal links
Accessory Dwelling Unit,primary_keyword,66,medium,Question→Answer page (H1) + Service schema + internal links
Full House Remodeling,primary_keyword,66,medium,Question→Answer page (H1) + Service schema + internal links
Exterior Paint Contractors,primary_keyword,64,medium,Question→Answer page (H1) + Service schema + internal links
Decks Contractor,primary_keyword,62,medium,Question→Answer page (H1) + Service schema + internal links
Patio & Decks,primary_keyword,61,medium,Question→Answer page (H1) + Service schema + internal links
Retaining Walls Contractor,primary_keyword,61,medium,Question→Answer page (H1) + Service schema + internal links
General Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Remodeling Services,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Exterior Remodeling,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Painting Services,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Seismic Retrofitting,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Bathroom Remodeling,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Kitchen Remodeling,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Paving Contractors,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Driveway Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Foundation Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Framing Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Deck Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Electrical Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Pluming Contractor,primary_keyword,60,medium,Question→Answer page (H1) + Service schema + internal links
Garage Door Replacements,primary_keyword,59,medium,Question→Answer page (H1) + Service schema + internal links
Kitchen Renovation,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Bathroom Renovation,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Interior Remodeling,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Commercial Construction,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Concrete Work,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Stucco Repair,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Window Replacement,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Patio Construction,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Room Replacements,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Swimming Pools,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Roofing,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Stucco,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Commercial Constructor,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
General Remodeling,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Floor Remodeling,primary_keyword,57,medium,Question→Answer page (H1) + Service schema + internal links
Construction Company,primary_keyword,51,medium,Question→Answer page (H1) + Service schema + internal links
Renovation Services,primary_keyword,51,medium,Question→Answer page (H1) + Service schema + internal links
Retaining Wall Construction,primary_keyword,50,medium,Question→Answer page (H1) + Service schema + internal links
Interior Paint Repair,primary_keyword,50,medium,Question→Answer page (H1) + Service schema + internal links
Solar System Installation,primary_keyword,50,medium,Question→Answer page (H1) + Service schema + internal links
Design Build,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Custom Homes,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Room Addition,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Home Addition,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
ADU Construction,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Residential Construction,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
New Construction,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Turnkey Construction,primary_keyword,47,medium,Question→Answer page (H1) + Service schema + internal links
Site Preparation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Foundation Work,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Roof Repair,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Roof Installation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Drywall Repair,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Flooring Installation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Door Installation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Fence Installation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Deck Building,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Solar Installation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
HVAC Installation,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
Foundation Repair,primary_keyword,48,medium,Question→Answer page (H1) + Service schema + internal links
